sy_snum,sy_pnum,disc_year,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_logg,st_loggerr1,st_loggerr2,st_logglim,ra,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,pl_name,hostname,discoverymethod,disc_facility,pl_bmassprov,st_spectype,st_metratio,rastr,decstr,pl_rade,log_pl_rade,planet_star_radius_ratio,log_orbital_period
2,1,2007,0,323.21,0.06,-0.05,0.0,1.178,0.0,0.0,0.0,0.27,-0.21,0.0,1.09,0.024,-0.019,0.0,4914.89848585,39.09289406,-39.72855088,0.0,15.464,0.123,-0.125,0.0,0.238,0.007,-0.007,0.0,99.493,6.0,-5.314,0.0,822.5,20.0,-20.0,0.0,0,4874.0,86.07499999999999,-86.93,0.0,13.76,2.85,-2.45,0.0,2.09,0.64,-0.63,0.0,-0.26,0.1,-0.1,0.0,2.45,0.08,-0.08,0.0,185.1787793,17.7932516,93.1846,1.9238,-1.9238,4.72307,0.023,-0.023,2.282,0.346,-0.346,4.44038,0.0038479,-0.0038479,11 Com b,11 Com,Radial Velocity,Xinglong Station,Msini,G8 III,[Fe/H],12h20m42.91s,+17d47m35.71s,12.2,2.580216829592325,0.8866279069767441,5.781391453983184
1,1,2009,0,516.21997,3.2,-3.2,0.0,1.53,0.07,-0.07,0.0,0.27,-0.21,0.0,1.09,0.024,-0.019,0.0,4684.8142,794.575,-794.575,0.0,14.74,2.5,-2.5,0.0,0.08,0.03,-0.03,0.0,99.493,6.0,-5.314,0.0,822.5,20.0,-20.0,0.0,0,4213.0,46.0,-46.0,0.0,29.79,2.84,-2.84,0.0,2.78,0.69,-0.69,0.0,-0.02,0.083,-0.083,0.0,1.93,0.07,-0.07,0.0,229.2745954,71.8239428,125.321,1.9765,-1.9765,5.013,0.005,-0.005,1.939,0.27,-0.27,4.56216,0.0039035,-0.0039035,11 UMi b,11 UMi,Radial Velocity,Thueringer Landessternwarte Tautenburg,Msini,K4 III,[Fe/H],15h17m05.90s,+71d49m26.19s,12.3,2.5877640352277083,0.41289023162134947,6.248468257907895
1,1,2008,0,186.76,0.11,-0.12,0.0,0.775,0.0,0.0,0.0,0.27,-0.21,0.0,1.16,0.024,-0.019,0.0,1131.15130051,36.2324384,-38.77506565,0.0,3.559,0.114,-0.122,0.0,0.0,0.049,-0.04,0.0,99.493,6.0,-5.314,0.0,822.5,20.0,-20.0,0.0,0,4888.0,86.07499999999999,-86.93,0.0,11.55,1.12,-0.51,0.0,1.78,0.43,-0.29,0.0,-0.21,0.1,-0.1,0.0,2.55,0.06,-0.07,0.0,352.82415,39.2358367,75.4392,0.714,-0.714,5.23133,0.023,-0.023,2.331,0.24,-0.24,4.91781,0.0028262,-0.0028262,14 And b,14 And,Radial Velocity,Okayama Astrophysical Observatory,Msini,K0 III,[Fe/H],23h31m17.80s,+39d14m09.01s,13.1,2.6461747973841225,1.1341991341991342,5.235164551542768
1,2,2002,0,1765.0389,1.67709,-1.87256,0.0,2.774,0.109,-0.12,0.0,0.27,-0.21,0.0,1.12,0.024,-0.019,0.0,2559.47216157,518.69596022,-280.64248338,0.0,8.053,1.632,-0.883,0.0,0.373,0.008,-0.006,0.0,99.493,6.0,-5.314,0.0,822.5,20.0,-20.0,0.0,0,5338.0,25.0,-25.0,0.0,0.93,0.01,-0.01,0.0,0.91,0.113,-0.113,0.0,0.4052,0.0466,-0.0466,0.0,4.45,0.02,-0.02,0.0,242.6021014,43.8163621,17.9323,0.0073,-0.0073,6.61935,0.023,-0.023,4.714,0.016,-0.016,6.383,0.0003512,-0.0003512,14 Her b,14 Her,Radial Velocity,W. M. Keck Observatory,Mass,K0V,[Fe/H],16h10m24.50s,+43d48m58.90s,12.6,2.6100697927420065,13.548387096774192,7.476494408101378
3,1,1996,0,798.5,1.0,-1.0,0.0,1.66,0.03,-0.03,0.0,0.27,-0.21,0.0,1.2,0.024,-0.019,0.0,565.7374,25.4264,-25.4264,0.0,1.78,0.08,-0.08,0.0,0.68,0.02,-0.02,0.0,99.493,6.0,-5.314,0.0,822.5,20.0,-20.0,0.0,0,5750.0,8.0,-8.0,0.0,1.13,0.01,-0.01,0.0,1.08,0.04,-0.04,0.0,0.06,0.083,-0.083,0.0,4.36,0.01,-0.01,0.0,295.4656422,50.5168243,21.1397,0.011,-0.0111,6.215,0.016,-0.016,4.651,0.016,-0.016,6.06428,0.0006029,-0.0006029,16 Cyg B b,16 Cyg B,Radial Velocity,Multiple Observatories,Msini,G3 V,[Fe/H],19h41m51.75s,+50d31m00.57s,13.5,2.6741486494265287,11.946902654867257,6.683986532274009
1,1,2020,0,578.38,2.01,-2.09,0.0,1.45,0.02,-0.02,0.0,0.27,-0.21,0.0,1.15,0.024,-0.019,0.0,1373.01871824,47.67426105,-38.13940884,0.0,4.32,0.15,-0.12,0.0,0.06,0.03,-0.02,0.0,99.493,6.0,-5.314,0.0,822.5,20.0,-20.0,0.0,0,4157.0,11.0,-10.0,0.0,25.92,0.78,-0.74,0.0,1.22,0.13,-0.14,0.0,-0.01,0.1,-0.1,0.0,1.7,0.04,-0.06,0.0,243.4620874,-11.8377905,124.953,2.59,-2.59,5.22606,0.023,-0.023,2.094,0.244,-0.244,4.75429,0.005055,-0.005055,17 Sco b,17 Sco,Radial Velocity,Lick Observatory,Msini,K3 III,[Fe/H],16h13m50.90s,-11d50m16.05s,12.9,2.631888840136646,0.4976851851851852,6.361958566272094
2,1,2008,0,982.85,1.06,-0.92,0.0,2.476,0.002,-0.002,0.0,0.27,-0.21,0.0,1.12,0.024,-0.019,0.0,2926.24614325,50.85254512,-24.47278734,0.0,9.207,0.16,-0.077,0.0,0.024,0.007,-0.018,0.0,99.493,6.0,-5.314,0.0,822.5,20.0,-20.0,0.0,0,4980.0,86.07499999999999,-86.93,0.0,8.8,0.61,-0.4,0.0,2.1,0.13,-0.09,0.0,-0.06,0.1,-0.1,0.0,2.87,0.03,-0.05,0.0,314.6078375,10.8391378,76.222,0.6217,-0.6217,5.51048,0.023,-0.023,3.366,0.204,-0.204,5.27476,0.0026539,-0.0026539,18 Del b,18 Del,Radial Velocity,Okayama Astrophysical Observatory,Msini,G6 III,[Fe/H],20h58m25.88s,+10d50m20.90s,12.5,2.6026896854443837,1.4204545454545454,6.891473446407854
1,1,2018,0,30.33,0.0,-0.01,0.0,0.194,0.0,0.0,0.0,0.27,-0.21,0.0,1.24,0.024,-0.019,0.0,280.64248338,11.44182265,-13.6666215,0.0,0.883,0.036,-0.043,0.0,0.032,0.039,-0.023,0.0,99.493,6.0,-5.314,0.0,822.5,20.0,-20.0,0.0,0,4816.0,86.07499999999999,-86.93,0.0,12.19,1.45,-1.28,0.0,1.05,0.27,-0.18,0.0,-0.78,0.1,-0.1,0.0,2.28,0.09,-0.07,0.0,217.1555242,49.8446488,95.9863,0.63685,-0.63685,5.59,0.001,-0.001,3.159,0.28,-0.28,5.3339,0.0019998,-0.0019998,24 Boo b,24 Boo,Radial Velocity,Okayama Astrophysical Observatory,Msini,G3 IV,[Fe/H],14h28m37.33s,+49d50m40.74s,13.9,2.7013612129514133,1.140278917145201,3.4445761049641
1,2,2010,0,452.8,2.1,-4.5,0.0,1.333,0.004,-0.009,0.0,0.27,-0.21,0.0,1.19,0.024,-0.019,0.0,632.46,82.63,-120.77,0.0,1.99,0.26,-0.38,0.0,0.09,0.14,-0.06,0.0,99.493,6.0,-5.314,0.0,822.5,20.0,-20.0,0.0,0,5098.0,44.0,-44.0,0.0,4.9,0.08,-0.08,0.0,1.54,0.08,-0.08,0.0,-0.03,0.04,-0.04,0.0,3.5,0.1,-0.1,0.0,155.8684866,-0.9023998,72.0691,0.6854,-0.6728,6.4535,0.023,-0.023,4.285,0.016,-0.016,6.20374,0.0004976,-0.0004976,24 Sex b,24 Sex,Radial Velocity,Lick Observatory,Msini,K0 IV,[Fe/H],10h23m28.44s,-00d54m08.64s,13.4,2.667228206581955,2.7346938775510203,6.117656572345742
1,2,2010,0,883.0,32.4,-13.8,0.0,2.08,0.05,-0.02,0.0,0.27,-0.21,0.0,1.24,0.024,-0.019,0.0,273.32,111.24,-69.92,0.0,0.86,0.35,-0.22,0.0,0.29,0.16,-0.09,0.0,99.493,6.0,-5.314,0.0,822.5,20.0,-20.0,0.0,0,5098.0,44.0,-44.0,0.0,4.9,0.08,-0.08,0.0,1.54,0.08,-0.08,0.0,-0.03,0.04,-0.04,0.0,3.5,0.1,-0.1,0.0,155.8684866,-0.9023998,72.0691,0.6854,-0.6728,6.4535,0.023,-0.023,4.285,0.016,-0.016,6.20374,0.0004976,-0.0004976,24 Sex c,24 Sex,Radial Velocity,Lick Observatory,Msini,K0 IV,[Fe/H],10h23m28.44s,-00d54m08.64s,13.9,2.7013612129514133,2.836734693877551,6.784457062637643
