feature,dtype,missing_ratio,n_unique
pl_eqterr1,float64,0.7112687675301106,327
pl_eqterr2,float64,0.7112687675301106,324
pl_orbeccenerr1,float64,0.6983996040257383,310
pl_orbeccenerr2,float64,0.6983996040257383,296
st_spectype,object,0.6307540009899356,314
pl_bmasseerr1,float64,0.5198812077214982,1214
pl_bmasseerr2,float64,0.5198812077214982,1153
pl_bmassjerr1,float64,0.5198812077214982,969
pl_bmassjerr2,float64,0.5198812077214982,919
pl_insolerr1,float64,0.4063685860419073,2697
pl_insolerr2,float64,0.4063685860419073,2659
pl_orbsmaxerr1,float64,0.37073090249133805,747
pl_orbsmaxerr2,float64,0.37073090249133805,739
pl_radjerr1,float64,0.31182973106748063,791
pl_radeerr1,float64,0.31182973106748063,785
pl_radeerr2,float64,0.31182973106748063,734
pl_radjerr2,float64,0.31182973106748063,714
pl_insol,float64,0.2979706319089259,4025
pl_insollim,float64,0.2979706319089259,1
pl_eqt,float64,0.2532585381950173,1865
pl_eqtlim,float64,0.2532585381950173,2
pl_orbeccen,float64,0.14766540174888632,601
pl_orbeccenlim,float64,0.14766540174888632,3
st_meterr2,float64,0.13562118462299952,327
st_meterr1,float64,0.13562118462299952,295
pl_orbpererr1,float64,0.13380630259033163,2639
pl_orbpererr2,float64,0.13380630259033163,2630
st_metratio,object,0.09074410163339383,3
st_met,float64,0.0877742946708464,615
st_metlim,float64,0.0877742946708464,3
st_loggerr2,float64,0.08001979871308365,558
st_loggerr1,float64,0.08001979871308365,498
st_tefferr2,float64,0.07902986305890117,1548
st_tefferr1,float64,0.07902986305890117,1521
st_raderr2,float64,0.07573007754495958,893
st_raderr1,float64,0.0755650882692625,990
sy_gaiamagerr1,float64,0.05378650387724798,1120
sy_gaiamagerr2,float64,0.05378650387724798,1120
sy_gaiamag,float64,0.0536215146015509,4111
sy_kmagerr2,float64,0.052466589671671345,157
pl_orbper,float64,0.052301600395974264,5730
pl_orbperlim,float64,0.052301600395974264,2
sy_kmagerr1,float64,0.050486718363306385,158
pl_orbsmax,float64,0.04999175053621514,3488
st_logg,float64,0.04999175053621514,1240
st_logglim,float64,0.04999175053621514,2
pl_orbsmaxlim,float64,0.04982676126051807,2
st_rad,float64,0.04916680415772975,1786
st_radlim,float64,0.04916680415772975,1
sy_vmagerr2,float64,0.04817686850354727,190
sy_vmagerr1,float64,0.047186932849364795,193
st_masserr2,float64,0.04636198647087939,500
st_masserr1,float64,0.04619699719518231,546
sy_vmag,float64,0.04586701864378816,3192
st_teff,float64,0.045537040092393996,2272
st_tefflim,float64,0.045537040092393996,2
sy_kmag,float64,0.04438211516251444,3369
sy_disterr2,float64,0.0219435736677116,3968
sy_disterr1,float64,0.0219435736677116,3946
pl_radj,float64,0.008249463784853984,2474
pl_rade,float64,0.008249463784853984,2113
pl_radelim,float64,0.008249463784853984,2
pl_radjlim,float64,0.008249463784853984,2
pl_bmasse,float64,0.00511466754660947,2784
pl_bmassj,float64,0.00511466754660947,2636
pl_bmasselim,float64,0.00511466754660947,3
pl_bmassjlim,float64,0.00511466754660947,3
sy_dist,float64,0.004289721168124072,4415
st_mass,float64,0.0011549249298795578,1193
st_masslim,float64,0.0011549249298795578,1
pl_name,object,0.0,6061
hostname,object,0.0,4521
decstr,object,0.0,4520
ra,float64,0.0,4518
dec,float64,0.0,4518
rastr,object,0.0,4513
disc_facility,object,0.0,73
disc_year,int64,0.0,33
discoverymethod,object,0.0,11
sy_pnum,int64,0.0,8
sy_snum,int64,0.0,4
pl_bmassprov,object,0.0,4
pl_controv_flag,int64,0.0,2
ttv_flag,int64,0.0,2
